891		fsl-editor: irrevocable text corruption when cloning blocks (CodeMirror @codemirror/view 6.43.3/6.43.4 tile-renderer bug; pinned to 6.43.2)
884		Permalink URL sync — follow-ups (inflate cap, key encoding, reconnect rebuild)
816		bug: constructor drops injected time_source (destructured then hardcoded); serialize() bypasses it too
780	Enhancement|Visualizations|API	feat(viz): Add Graph Highlighter to jssm-viz (Traces & Nodes)
775	Enhancement|LLM|Cli	Add export-system-prompt CLI command for AI Agents
748	Build|Performance|Tooling|Visualizations|CI/CD	build(perf): durable perf-chart pipeline — src/scripts generator, build-step regeneration into src/generated_docs, run-end comment workflow
736	Cleanup|Performance	perf(util): query/util micro-cleanups — uses_actions allocates; probable_exits_for triple-pass; unique() O(n^2); seq() triple-alloc
735	Core|Performance	perf(transition): hooked/listener-path cleanups — 4x hook_args spread; edges_between()[0] alloc; double state lookup for terminal/complete
734	Refactor|Core|Performance	perf(machine): constructor validation cleanups — JSON.parse per property binding; states() rebuilt per required property
733	FSL|Performance	perf(parser): TimeType keyword-table scanner — 27 sequential literal probes per after-decoration
732	Refactor|Performance	perf(parser): charCode digit-run scanner for IntegerLiteral — regex class tests are ~4% of construct() ticks
731	FSL|Performance	perf(parser): first-char gate for Stripe/Cycle ArrowTarget probes — ~4% of construct() on cycle-free machines
730	Refactor|FSL|Performance	perf(parser): hand-rolled ActionLabel/String scanners — slice unescaped runs instead of char-array join
729	Performance	perf: numeric interned keys for hook firing (interning lever 2)
725	Bug|Performance|CI/CD	fix(perf-ci): detached runner rebuilds committed dist + 30-min dead-man guillotines every release run
723	Bug	fix(timers): hookless machines never clear 'after' timeouts on early exit — stale fire + re-arm throw
706	Refactor|Core|Performance	perf: constructor Map double-lookups — get/has pairs in the transition build loop (9% of construct)
705	Refactor|Core|Performance	perf: shared frozen hook outcomes — 6-10 {pass:true} allocations per hooked transition
704	FSL|Performance	perf: inline peg$fail's early-return guard at generated call sites (6.7% of construct)
703	Bug|Needs tests|Performance|Codegen	fix(compiler): [].concat spread caps machines at ~65k transition statements; pointless O(n) copy
702	Enhancement|FSL|Performance	perf: hand-rolled Atom scanner — per-char array+join in peg$parseAtom (~13% of construct)
700	Performance|Codegen	perf: O(n^2) concat accumulation in compile() — the real construct() cliff
698	Core|FSL|Performance	perf: hand-rolled peg$parseWS whitespace scanner (parser-bound construct() cliff)
676	Refactor|FSL|Performance	perf: de-recurse the WS / comment grammar rules (construct() parse time)
